"site_borough","report_year","animal_count"
"BRONX","2006",15
"BROOKLYN","2006",2
"MANHATTAN","2006",1
"STATEN ISLAND","2006",2
"BRONX","2007",6
"BROOKLYN","2007",2
"MANHATTAN","2007",7
"QUEENS","2007",1
"BRONX","2008",3
"BROOKLYN","2008",5
"MANHATTAN","2008",3
"QUEENS","2008",1
"BRONX","2009",1
"BROOKLYN","2009",5
"MANHATTAN","2009",4
"QUEENS","2009",5
"STATEN ISLAND","2009",1
"BROOKLYN","2010",5
"MANHATTAN","2010",6
"QUEENS","2010",5
"BRONX","2011",14
"BROOKLYN","2011",2
"BROOKLYN","2012",1
"QUEENS","2012",22
"BROOKLYN","2013",1
"MANHATTAN","2013",4
"BRONX","2014",1
"BROOKLYN","2014",6
"MANHATTAN","2014",7
"QUEENS","2014",8
